"N","min(displacement (0))","q1(displacement (0))","med(displacement (0))","q3(displacement (0))","max(displacement (0))","avg(displacement (0))","std(displacement (0))","min(displacement (1))","q1(displacement (1))","med(displacement (1))","q3(displacement (1))","max(displacement (1))","avg(displacement (1))","std(displacement (1))","min(displacement (2))","q1(displacement (2))","med(displacement (2))","q3(displacement (2))","max(displacement (2))","avg(displacement (2))","std(displacement (2))","min(displacement (Magnitude))","q1(displacement (Magnitude))","med(displacement (Magnitude))","q3(displacement (Magnitude))","max(displacement (Magnitude))","avg(displacement (Magnitude))","std(displacement (Magnitude))","min(vtkOriginalPointIds)","q1(vtkOriginalPointIds)","med(vtkOriginalPointIds)","q3(vtkOriginalPointIds)","max(vtkOriginalPointIds)","avg(vtkOriginalPointIds)","std(vtkOriginalPointIds)","min(X)","q1(X)","med(X)","q3(X)","max(X)","avg(X)","std(X)","min(Y)","q1(Y)","med(Y)","q3(Y)","max(Y)","avg(Y)","std(Y)","min(Z)","q1(Z)","med(Z)","q3(Z)","max(Z)","avg(Z)","std(Z)","vtkValidPointMask","Time"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0
1,0,0,0,0,0,0,0,-3.84615e-08,-3.84615e-08,-3.84615e-08,-3.84615e-08,-3.84615e-08,-3.84615e-08,0,4.74359e-07,4.74359e-07,4.74359e-07,4.74359e-07,4.74359e-07,4.74359e-07,0,4.759156941e-07,4.759156941e-07,4.759156941e-07,4.759156941e-07,4.759156941e-07,4.759156941e-07,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
1,0,0,0,0,0,0,0,-1.64037e-07,-1.64037e-07,-1.64037e-07,-1.64037e-07,-1.64037e-07,-1.64037e-07,0,1.88724e-06,1.88724e-06,1.88724e-06,1.88724e-06,1.88724e-06,1.88724e-06,0,1.894355551e-06,1.894355551e-06,1.894355551e-06,1.894355551e-06,1.894355551e-06,1.894355551e-06,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,2
1,0,0,0,0,0,0,0,-4.06514e-07,-4.06514e-07,-4.06514e-07,-4.06514e-07,-4.06514e-07,-4.06514e-07,0,4.20887e-06,4.20887e-06,4.20887e-06,4.20887e-06,4.20887e-06,4.20887e-06,0,4.22845602e-06,4.22845602e-06,4.22845602e-06,4.22845602e-06,4.22845602e-06,4.22845602e-06,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,3
1,0,0,0,0,0,0,0,-8.12987e-07,-8.12987e-07,-8.12987e-07,-8.12987e-07,-8.12987e-07,-8.12987e-07,0,7.39213e-06,7.39213e-06,7.39213e-06,7.39213e-06,7.39213e-06,7.39213e-06,0,7.436701809e-06,7.436701809e-06,7.436701809e-06,7.436701809e-06,7.436701809e-06,7.436701809e-06,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,4
1,0,0,0,0,0,0,0,-1.44423e-06,-1.44423e-06,-1.44423e-06,-1.44423e-06,-1.44423e-06,-1.44423e-06,0,1.13763e-05,1.13763e-05,1.13763e-05,1.13763e-05,1.13763e-05,1.13763e-05,0,1.146760664e-05,1.146760664e-05,1.146760664e-05,1.146760664e-05,1.146760664e-05,1.146760664e-05,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,5
1,0,0,0,0,0,0,0,-2.37004e-06,-2.37004e-06,-2.37004e-06,-2.37004e-06,-2.37004e-06,-2.37004e-06,0,1.60915e-05,1.60915e-05,1.60915e-05,1.60915e-05,1.60915e-05,1.60915e-05,0,1.62650995e-05,1.62650995e-05,1.62650995e-05,1.62650995e-05,1.62650995e-05,1.62650995e-05,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,6
1,0,0,0,0,0,0,0,-3.66383e-06,-3.66383e-06,-3.66383e-06,-3.66383e-06,-3.66383e-06,-3.66383e-06,0,2.14643e-05,2.14643e-05,2.14643e-05,2.14643e-05,2.14643e-05,2.14643e-05,0,2.1774752e-05,2.1774752e-05,2.1774752e-05,2.1774752e-05,2.1774752e-05,2.1774752e-05,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,7
1,0,0,0,0,0,0,0,-5.39702e-06,-5.39702e-06,-5.39702e-06,-5.39702e-06,-5.39702e-06,-5.39702e-06,0,2.74234e-05,2.74234e-05,2.74234e-05,2.74234e-05,2.74234e-05,2.74234e-05,0,2.794943099e-05,2.794943099e-05,2.794943099e-05,2.794943099e-05,2.794943099e-05,2.794943099e-05,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,8
1,0,0,0,0,0,0,0,-7.63352e-06,-7.63352e-06,-7.63352e-06,-7.63352e-06,-7.63352e-06,-7.63352e-06,0,3.39048e-05,3.39048e-05,3.39048e-05,3.39048e-05,3.39048e-05,3.39048e-05,0,3.475350472e-05,3.475350472e-05,3.475350472e-05,3.475350472e-05,3.475350472e-05,3.475350472e-05,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,9
