"N","min(displacement (0))","q1(displacement (0))","med(displacement (0))","q3(displacement (0))","max(displacement (0))","avg(displacement (0))","std(displacement (0))","min(displacement (1))","q1(displacement (1))","med(displacement (1))","q3(displacement (1))","max(displacement (1))","avg(displacement (1))","std(displacement (1))","min(displacement (2))","q1(displacement (2))","med(displacement (2))","q3(displacement (2))","max(displacement (2))","avg(displacement (2))","std(displacement (2))","min(displacement (Magnitude))","q1(displacement (Magnitude))","med(displacement (Magnitude))","q3(displacement (Magnitude))","max(displacement (Magnitude))","avg(displacement (Magnitude))","std(displacement (Magnitude))","min(vtkOriginalPointIds)","q1(vtkOriginalPointIds)","med(vtkOriginalPointIds)","q3(vtkOriginalPointIds)","max(vtkOriginalPointIds)","avg(vtkOriginalPointIds)","std(vtkOriginalPointIds)","min(X)","q1(X)","med(X)","q3(X)","max(X)","avg(X)","std(X)","min(Y)","q1(Y)","med(Y)","q3(Y)","max(Y)","avg(Y)","std(Y)","min(Z)","q1(Z)","med(Z)","q3(Z)","max(Z)","avg(Z)","std(Z)","vtkValidPointMask","Time"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0
1,-5.76923e-08,-5.76923e-08,-5.76923e-08,-5.76923e-08,-5.76923e-08,-5.76923e-08,0,0,0,0,0,0,0,0,7.11538e-07,7.11538e-07,7.11538e-07,7.11538e-07,7.11538e-07,7.11538e-07,0,7.138730468e-07,7.138730468e-07,7.138730468e-07,7.138730468e-07,7.138730468e-07,7.138730468e-07,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1
1,-2.53698e-07,-2.53698e-07,-2.53698e-07,-2.53698e-07,-2.53698e-07,-2.53698e-07,0,0,0,0,0,0,0,0,2.82322e-06,2.82322e-06,2.82322e-06,2.82322e-06,2.82322e-06,2.82322e-06,0,2.834595887e-06,2.834595887e-06,2.834595887e-06,2.834595887e-06,2.834595887e-06,2.834595887e-06,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,2
1,-6.54159e-07,-6.54159e-07,-6.54159e-07,-6.54159e-07,-6.54159e-07,-6.54159e-07,0,0,0,0,0,0,0,0,6.26891e-06,6.26891e-06,6.26891e-06,6.26891e-06,6.26891e-06,6.26891e-06,0,6.302948245e-06,6.302948245e-06,6.302948245e-06,6.302948245e-06,6.302948245e-06,6.302948245e-06,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,3
1,-1.3608e-06,-1.3608e-06,-1.3608e-06,-1.3608e-06,-1.3608e-06,-1.3608e-06,0,0,0,0,0,0,0,0,1.09469e-05,1.09469e-05,1.09469e-05,1.09469e-05,1.09469e-05,1.09469e-05,0,1.103115571e-05,1.103115571e-05,1.103115571e-05,1.103115571e-05,1.103115571e-05,1.103115571e-05,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,4
1,-2.49918e-06,-2.49918e-06,-2.49918e-06,-2.49918e-06,-2.49918e-06,-2.49918e-06,0,0,0,0,0,0,0,0,1.67316e-05,1.67316e-05,1.67316e-05,1.67316e-05,1.67316e-05,1.67316e-05,0,1.69172202e-05,1.69172202e-05,1.69172202e-05,1.69172202e-05,1.69172202e-05,1.69172202e-05,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,5
1,-4.20422e-06,-4.20422e-06,-4.20422e-06,-4.20422e-06,-4.20422e-06,-4.20422e-06,0,0,0,0,0,0,0,0,2.3488e-05,2.3488e-05,2.3488e-05,2.3488e-05,2.3488e-05,2.3488e-05,0,2.386129942e-05,2.386129942e-05,2.386129942e-05,2.386129942e-05,2.386129942e-05,2.386129942e-05,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,6
1,-6.60463e-06,-6.60463e-06,-6.60463e-06,-6.60463e-06,-6.60463e-06,-6.60463e-06,0,0,0,0,0,0,0,0,3.10876e-05,3.10876e-05,3.10876e-05,3.10876e-05,3.10876e-05,3.10876e-05,0,3.17814413e-05,3.17814413e-05,3.17814413e-05,3.17814413e-05,3.17814413e-05,3.17814413e-05,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,7
1,-9.80804e-06,-9.80804e-06,-9.80804e-06,-9.80804e-06,-9.80804e-06,-9.80804e-06,0,0,0,0,0,0,0,0,3.94226e-05,3.94226e-05,3.94226e-05,3.94226e-05,3.94226e-05,3.94226e-05,0,4.06243651e-05,4.06243651e-05,4.06243651e-05,4.06243651e-05,4.06243651e-05,4.06243651e-05,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,8
1,-1.38886e-05,-1.38886e-05,-1.38886e-05,-1.38886e-05,-1.38886e-05,-1.38886e-05,0,0,0,0,0,0,0,0,4.84189e-05,4.84189e-05,4.84189e-05,4.84189e-05,4.84189e-05,4.84189e-05,0,5.037145111e-05,5.037145111e-05,5.037145111e-05,5.037145111e-05,5.037145111e-05,5.037145111e-05,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,9
1,-1.88784e-05,-1.88784e-05,-1.88784e-05,-1.88784e-05,-1.88784e-05,-1.88784e-05,0,0,0,0,0,0,0,0,5.80444e-05,5.80444e-05,5.80444e-05,5.80444e-05,5.80444e-05,5.80444e-05,0,6.103725385e-05,6.103725385e-05,6.103725385e-05,6.103725385e-05,6.103725385e-05,6.103725385e-05,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,10
