"N","min(Stress (0))","q1(Stress (0))","med(Stress (0))","q3(Stress (0))","max(Stress (0))","avg(Stress (0))","std(Stress (0))","min(Stress (1))","q1(Stress (1))","med(Stress (1))","q3(Stress (1))","max(Stress (1))","avg(Stress (1))","std(Stress (1))","min(Stress (2))","q1(Stress (2))","med(Stress (2))","q3(Stress (2))","max(Stress (2))","avg(Stress (2))","std(Stress (2))","min(Stress (3))","q1(Stress (3))","med(Stress (3))","q3(Stress (3))","max(Stress (3))","avg(Stress (3))","std(Stress (3))","min(Stress (4))","q1(Stress (4))","med(Stress (4))","q3(Stress (4))","max(Stress (4))","avg(Stress (4))","std(Stress (4))","min(Stress (5))","q1(Stress (5))","med(Stress (5))","q3(Stress (5))","max(Stress (5))","avg(Stress (5))","std(Stress (5))","min(Stress (6))","q1(Stress (6))","med(Stress (6))","q3(Stress (6))","max(Stress (6))","avg(Stress (6))","std(Stress (6))","min(Stress (7))","q1(Stress (7))","med(Stress (7))","q3(Stress (7))","max(Stress (7))","avg(Stress (7))","std(Stress (7))","min(Stress (8))","q1(Stress (8))","med(Stress (8))","q3(Stress (8))","max(Stress (8))","avg(Stress (8))","std(Stress (8))","min(Stress (Magnitude))","q1(Stress (Magnitude))","med(Stress (Magnitude))","q3(Stress (Magnitude))","max(Stress (Magnitude))","avg(Stress (Magnitude))","std(Stress (Magnitude))","min(Strain (0))","q1(Strain (0))","med(Strain (0))","q3(Strain (0))","max(Strain (0))","avg(Strain (0))","std(Strain (0))","min(Strain (1))","q1(Strain (1))","med(Strain (1))","q3(Strain (1))","max(Strain (1))","avg(Strain (1))","std(Strain (1))","min(Strain (2))","q1(Strain (2))","med(Strain (2))","q3(Strain (2))","max(Strain (2))","avg(Strain (2))","std(Strain (2))","min(Strain (3))","q1(Strain (3))","med(Strain (3))","q3(Strain (3))","max(Strain (3))","avg(Strain (3))","std(Strain (3))","min(Strain (4))","q1(Strain (4))","med(Strain (4))","q3(Strain (4))","max(Strain (4))","avg(Strain (4))","std(Strain (4))","min(Strain (5))","q1(Strain (5))","med(Strain (5))","q3(Strain (5))","max(Strain (5))","avg(Strain (5))","std(Strain (5))","min(Strain (6))","q1(Strain (6))","med(Strain (6))","q3(Strain (6))","max(Strain (6))","avg(Strain (6))","std(Strain (6))","min(Strain (7))","q1(Strain (7))","med(Strain (7))","q3(Strain (7))","max(Strain (7))","avg(Strain (7))","std(Strain (7))","min(Strain (8))","q1(Strain (8))","med(Strain (8))","q3(Strain (8))","max(Strain (8))","avg(Strain (8))","std(Strain (8))","min(Strain (Magnitude))","q1(Strain (Magnitude))","med(Strain (Magnitude))","q3(Strain (Magnitude))","max(Strain (Magnitude))","avg(Strain (Magnitude))","std(Strain (Magnitude))","min(vtkOriginalCellIds)","q1(vtkOriginalCellIds)","med(vtkOriginalCellIds)","q3(vtkOriginalCellIds)","max(vtkOriginalCellIds)","avg(vtkOriginalCellIds)","std(vtkOriginalCellIds)","vtkValidPointMask","Time"
1,6000,6000,6000,6000,6000,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,6000,6000,6000,6000,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,6000,6000,6000,6000,6000,0,10392,10392,10392,10392,10392,10392,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,0,0,0,0,0,0,0,1.2247,1.2247,1.2247,1.2247,1.2247,1.2247,0,0,0,0,0,0,0,0,1,0
1,7192.3,7192.3,7192.3,7192.3,7192.3,7192.3,0,1.0563e-20,1.0563e-20,1.0563e-20,1.0563e-20,1.0563e-20,1.0563e-20,0,-2.1125e-20,-2.1125e-20,-2.1125e-20,-2.1125e-20,-2.1125e-20,-2.1125e-20,0,1.0563e-20,1.0563e-20,1.0563e-20,1.0563e-20,1.0563e-20,1.0563e-20,0,7192.3,7192.3,7192.3,7192.3,7192.3,7192.3,0,-1.0562e-20,-1.0562e-20,-1.0562e-20,-1.0562e-20,-1.0562e-20,-1.0562e-20,0,-2.1125e-20,-2.1125e-20,-2.1125e-20,-2.1125e-20,-2.1125e-20,-2.1125e-20,0,-1.0562e-20,-1.0562e-20,-1.0562e-20,-1.0562e-20,-1.0562e-20,-1.0562e-20,0,7192.3,7192.3,7192.3,7192.3,7192.3,7192.3,0,12457,12457,12457,12457,12457,12457,0,-5.7692e-08,-5.7692e-08,-5.7692e-08,-5.7692e-08,-5.7692e-08,-5.7692e-08,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-5.7692e-08,-5.7692e-08,-5.7692e-08,-5.7692e-08,-5.7692e-08,-5.7692e-08,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,7.1154e-07,7.1154e-07,7.1154e-07,7.1154e-07,7.1154e-07,7.1154e-07,0,1.2247,1.2247,1.2247,1.2247,1.2247,1.2247,0,0,0,0,0,0,0,0,1,1
1,10632,10632,10632,10632,10632,10632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10632,10632,10632,10632,10632,10632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10632,10632,10632,10632,10632,10632,0,18415,18415,18415,18415,18415,18415,0,-2.537e-07,-2.537e-07,-2.537e-07,-2.537e-07,-2.537e-07,-2.537e-07,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-2.537e-07,-2.537e-07,-2.537e-07,-2.537e-07,-2.537e-07,-2.537e-07,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,2.8232e-06,2.8232e-06,2.8232e-06,2.8232e-06,2.8232e-06,2.8232e-06,0,1.2247,1.2247,1.2247,1.2247,1.2247,1.2247,0,0,0,0,0,0,0,0,1,2
1,15921,15921,15921,15921,15921,15921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15921,15921,15921,15921,15921,15921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15921,15921,15921,15921,15921,15921,0,27576,27576,27576,27576,27576,27576,0,-6.5416e-07,-6.5416e-07,-6.5416e-07,-6.5416e-07,-6.5416e-07,-6.5416e-07,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-6.5416e-07,-6.5416e-07,-6.5416e-07,-6.5416e-07,-6.5416e-07,-6.5416e-07,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,6.2689e-06,6.2689e-06,6.2689e-06,6.2689e-06,6.2689e-06,6.2689e-06,0,1.2247,1.2247,1.2247,1.2247,1.2247,1.2247,0,0,0,0,0,0,0,0,1,3
1,22451,22451,22451,22451,22451,22451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22451,22451,22451,22451,22451,22451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22450,22450,22450,22450,22450,22450,0,38885,38885,38885,38885,38885,38885,0,-1.3608e-06,-1.3608e-06,-1.3608e-06,-1.3608e-06,-1.3608e-06,-1.3608e-06,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-1.3608e-06,-1.3608e-06,-1.3608e-06,-1.3608e-06,-1.3608e-06,-1.3608e-06,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,1.0947e-05,1.0947e-05,1.0947e-05,1.0947e-05,1.0947e-05,1.0947e-05,0,1.2247,1.2247,1.2247,1.2247,1.2247,1.2247,0,0,0,0,0,0,0,0,1,4
1,29466,29466,29466,29466,29466,29466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29466,29466,29466,29466,29466,29466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29466,29466,29466,29466,29466,29466,0,51037,51037,51037,51037,51037,51037,0,-2.4992e-06,-2.4992e-06,-2.4992e-06,-2.4992e-06,-2.4992e-06,-2.4992e-06,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-2.4992e-06,-2.4992e-06,-2.4992e-06,-2.4992e-06,-2.4992e-06,-2.4992e-06,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,1.6732e-05,1.6732e-05,1.6732e-05,1.6732e-05,1.6732e-05,1.6732e-05,0,1.2247,1.2247,1.2247,1.2247,1.2247,1.2247,0,0,0,0,0,0,0,0,1,5
1,36159,36159,36159,36159,36159,36159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36159,36159,36159,36159,36159,36159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36158,36158,36158,36158,36158,36158,0,62629,62629,62629,62629,62629,62629,0,-4.2042e-06,-4.2042e-06,-4.2042e-06,-4.2042e-06,-4.2042e-06,-4.2042e-06,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-4.2042e-06,-4.2042e-06,-4.2042e-06,-4.2042e-06,-4.2042e-06,-4.2042e-06,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,2.3488e-05,2.3488e-05,2.3488e-05,2.3488e-05,2.3488e-05,2.3488e-05,0,1.2247,1.2247,1.2247,1.2247,1.2247,1.2247,0,0,0,0,0,0,0,0,1,6
1,41757,41757,41757,41757,41757,41757,0,7.9953e-18,7.9953e-18,7.9953e-18,7.9953e-18,7.9953e-18,7.9953e-18,0,-7.9947e-18,-7.9947e-18,-7.9947e-18,-7.9947e-18,-7.9947e-18,-7.9947e-18,0,7.9953e-18,7.9953e-18,7.9953e-18,7.9953e-18,7.9953e-18,7.9953e-18,0,41757,41757,41757,41757,41757,41757,0,-1.5989e-17,-1.5989e-17,-1.5989e-17,-1.5989e-17,-1.5989e-17,-1.5989e-17,0,-7.9947e-18,-7.9947e-18,-7.9947e-18,-7.9947e-18,-7.9947e-18,-7.9947e-18,0,-1.5989e-17,-1.5989e-17,-1.5989e-17,-1.5989e-17,-1.5989e-17,-1.5989e-17,0,41754,41754,41754,41754,41754,41754,0,72323,72323,72323,72323,72323,72323,0,-6.6046e-06,-6.6046e-06,-6.6046e-06,-6.6046e-06,-6.6046e-06,-6.6046e-06,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-6.6046e-06,-6.6046e-06,-6.6046e-06,-6.6046e-06,-6.6046e-06,-6.6046e-06,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,3.1088e-05,3.1088e-05,3.1088e-05,3.1088e-05,3.1088e-05,3.1088e-05,0,1.2247,1.2247,1.2247,1.2247,1.2247,1.2247,0,0,0,0,0,0,0,0,1,7
1,45613,45613,45613,45613,45613,45613,0,1.7624e-17,1.7624e-17,1.7624e-17,1.7624e-17,1.7624e-17,1.7624e-17,0,-1.7622e-17,-1.7622e-17,-1.7622e-17,-1.7622e-17,-1.7622e-17,-1.7622e-17,0,1.7624e-17,1.7624e-17,1.7624e-17,1.7624e-17,1.7624e-17,1.7624e-17,0,45613,45613,45613,45613,45613,45613,0,3.5248e-17,3.5248e-17,3.5248e-17,3.5248e-17,3.5248e-17,3.5248e-17,0,-1.7622e-17,-1.7622e-17,-1.7622e-17,-1.7622e-17,-1.7622e-17,-1.7622e-17,0,3.5248e-17,3.5248e-17,3.5248e-17,3.5248e-17,3.5248e-17,3.5248e-17,0,45609,45609,45609,45609,45609,45609,0,79002,79002,79002,79002,79002,79002,0,-9.808e-06,-9.808e-06,-9.808e-06,-9.808e-06,-9.808e-06,-9.808e-06,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-9.808e-06,-9.808e-06,-9.808e-06,-9.808e-06,-9.808e-06,-9.808e-06,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,3.9424e-05,3.9424e-05,3.9424e-05,3.9424e-05,3.9424e-05,3.9424e-05,0,1.2247,1.2247,1.2247,1.2247,1.2247,1.2247,0,0,0,0,0,0,0,0,1,8
1,47283,47283,47283,47283,47283,47283,0,-1.8331e-17,-1.8331e-17,-1.8331e-17,-1.8331e-17,-1.8331e-17,-1.8331e-17,0,2.9618e-38,2.9618e-38,2.9618e-38,2.9618e-38,2.9618e-38,2.9618e-38,0,-1.8331e-17,-1.8331e-17,-1.8331e-17,-1.8331e-17,-1.8331e-17,-1.8331e-17,0,47283,47283,47283,47283,47283,47283,0,-7.332e-17,-7.332e-17,-7.332e-17,-7.332e-17,-7.332e-17,-7.332e-17,0,2.9618e-38,2.9618e-38,2.9618e-38,2.9618e-38,2.9618e-38,2.9618e-38,0,-7.332e-17,-7.332e-17,-7.332e-17,-7.332e-17,-7.332e-17,-7.332e-17,0,47278,47278,47278,47278,47278,47278,0,81893,81893,81893,81893,81893,81893,0,-1.3888e-05,-1.3888e-05,-1.3888e-05,-1.3888e-05,-1.3888e-05,-1.3888e-05,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-1.3888e-05,-1.3888e-05,-1.3888e-05,-1.3888e-05,-1.3888e-05,-1.3888e-05,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,4.842e-05,4.842e-05,4.842e-05,4.842e-05,4.842e-05,4.842e-05,0,1.2247,1.2247,1.2247,1.2247,1.2247,1.2247,0,0,0,0,0,0,0,0,1,9
1,46574,46574,46574,46574,46574,46574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46574,46574,46574,46574,46574,46574,0,-7.2119e-17,-7.2119e-17,-7.2119e-17,-7.2119e-17,-7.2119e-17,-7.2119e-17,0,0,0,0,0,0,0,0,-7.2119e-17,-7.2119e-17,-7.2119e-17,-7.2119e-17,-7.2119e-17,-7.2119e-17,0,46567,46567,46567,46567,46567,46567,0,80664,80664,80664,80664,80664,80664,0,-1.8878e-05,-1.8878e-05,-1.8878e-05,-1.8878e-05,-1.8878e-05,-1.8878e-05,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-1.8878e-05,-1.8878e-05,-1.8878e-05,-1.8878e-05,-1.8878e-05,-1.8878e-05,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,5.8047e-05,5.8047e-05,5.8047e-05,5.8047e-05,5.8047e-05,5.8047e-05,0,1.2247,1.2247,1.2247,1.2247,1.2247,1.2247,0,0,0,0,0,0,0,0,1,10
1,43567,43567,43567,43567,43567,43567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43567,43567,43567,43567,43567,43567,0,-1.3405e-16,-1.3405e-16,-1.3405e-16,-1.3405e-16,-1.3405e-16,-1.3405e-16,0,0,0,0,0,0,0,0,-1.3405e-16,-1.3405e-16,-1.3405e-16,-1.3405e-16,-1.3405e-16,-1.3405e-16,0,43560,43560,43560,43560,43560,43560,0,75457,75457,75457,75457,75457,75457,0,-2.4764e-05,-2.4764e-05,-2.4764e-05,-2.4764e-05,-2.4764e-05,-2.4764e-05,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-2.4764e-05,-2.4764e-05,-2.4764e-05,-2.4764e-05,-2.4764e-05,-2.4764e-05,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,6.8316e-05,6.8316e-05,6.8316e-05,6.8316e-05,6.8316e-05,6.8316e-05,0,1.2247,1.2247,1.2247,1.2247,1.2247,1.2247,0,0,0,0,0,0,0,0,1,11
1,38610,38610,38610,38610,38610,38610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38610,38610,38610,38610,38610,38610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38603,38603,38603,38603,38603,38603,0,66871,66871,66871,66871,66871,66871,0,-3.1487e-05,-3.1487e-05,-3.1487e-05,-3.1487e-05,-3.1487e-05,-3.1487e-05,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-3.1487e-05,-3.1487e-05,-3.1487e-05,-3.1487e-05,-3.1487e-05,-3.1487e-05,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,7.9286e-05,7.9286e-05,7.9286e-05,7.9286e-05,7.9286e-05,7.9286e-05,0,1.2247,1.2247,1.2247,1.2247,1.2247,1.2247,0,0,0,0,0,0,0,0,1,12
